sess_id,seqnum,tradedate,tradetime,ticker,clgroup,pos,pos_long,pos_short,pos_long_num,pos_short_num,systime,trade_session_date
6962,59,2024-01-03,23:50:00,Si,YUR,-138502,2508965,-2647467,276,109,2025-06-21 16:22:46,2024-01-03
6962,59,2024-01-03,23:50:00,Si,FIZ,138502,436802,-298300,9055,4476,2025-06-21 16:22:46,2024-01-03
6962,13,2024-01-03,20:00:00,Si,YUR,-153181,2492627,-2645808,278,107,2025-06-21 16:22:46,2024-01-03
6962,13,2024-01-03,20:00:00,Si,FIZ,153181,442680,-289499,9217,4415,2025-06-21 16:22:46,2024-01-03
6961,141,2024-01-03,16:00:00,Si,YUR,-156479,2490010,-2646489,288,106,2025-06-21 16:22:46,2024-01-03
6961,141,2024-01-03,16:00:00,Si,FIZ,156479,444198,-287719,9323,4552,2025-06-21 16:22:46,2024-01-03
6961,94,2024-01-03,12:00:00,Si,YUR,-158752,2489479,-2648231,267,125,2025-06-21 16:22:46,2024-01-03
6961,94,2024-01-03,12:00:00,Si,FIZ,158752,424322,-265570,8324,4734,2025-06-21 16:22:46,2024-01-03
6961,59,2024-01-03,09:05:00,Si,YUR,-160020,2488125,-2648145,245,132,2025-06-21 16:22:46,2024-01-03
6961,59,2024-01-03,09:05:00,Si,FIZ,160020,416508,-256488,7336,4554,2025-06-21 16:22:46,2024-01-03
6970,57,2024-01-15,23:50:00,Si,YUR,-37572,2358010,-2395582,253,147,2025-06-21 16:22:46,2024-01-15
6970,57,2024-01-15,23:50:00,Si,FIZ,37572,412462,-374890,8267,9171,2025-06-21 16:22:46,2024-01-15
6970,11,2024-01-15,20:00:00,Si,YUR,-42043,2353759,-2395802,250,149,2025-06-21 16:22:46,2024-01-15
6970,11,2024-01-15,20:00:00,Si,FIZ,42043,417409,-375366,8374,9255,2025-06-21 16:22:46,2024-01-15
6969,144,2024-01-15,16:00:00,Si,YUR,-47779,2375967,-2423746,249,163,2025-06-21 16:22:46,2024-01-15
6969,144,2024-01-15,16:00:00,Si,FIZ,47779,429265,-381486,8274,9289,2025-06-21 16:22:46,2024-01-15
6969,97,2024-01-15,12:00:00,Si,YUR,-53793,2390170,-2443963,255,159,2025-06-21 16:22:46,2024-01-15
6969,97,2024-01-15,12:00:00,Si,FIZ,53793,425657,-371864,8250,8518,2025-06-21 16:22:46,2024-01-15
6965,57,2024-01-08,23:50:00,Si,YUR,-148589,2506139,-2654728,262,130,2025-06-21 16:22:46,2024-01-08
6965,57,2024-01-08,23:50:00,Si,FIZ,148589,417483,-268894,7689,4712,2025-06-21 16:22:46,2024-01-08
6965,11,2024-01-08,20:00:00,Si,YUR,-148744,2506110,-2654854,265,128,2025-06-21 16:22:46,2024-01-08
6965,11,2024-01-08,20:00:00,Si,FIZ,148744,419024,-270280,7793,4816,2025-06-21 16:22:46,2024-01-08
6964,143,2024-01-08,16:00:00,Si,YUR,-137469,2511253,-2648722,268,129,2025-06-21 16:22:46,2024-01-08
6964,143,2024-01-08,16:00:00,Si,FIZ,137469,421474,-284005,7774,5352,2025-06-21 16:22:46,2024-01-08
6964,96,2024-01-08,12:00:00,Si,YUR,-127427,2521516,-2648943,261,133,2025-06-21 16:22:46,2024-01-08
6964,96,2024-01-08,12:00:00,Si,FIZ,127427,413989,-286562,7755,5385,2025-06-21 16:22:46,2024-01-08
6971,59,2024-01-16,23:50:00,Si,YUR,-92060,2295297,-2387357,256,142,2025-06-21 16:22:46,2024-01-16
6971,59,2024-01-16,23:50:00,Si,FIZ,92060,435336,-343276,8668,8465,2025-06-21 16:22:46,2024-01-16
6971,13,2024-01-16,20:00:00,Si,YUR,-92010,2295448,-2387458,256,143,2025-06-21 16:22:46,2024-01-16
6971,13,2024-01-16,20:00:00,Si,FIZ,92010,438555,-346545,8715,8588,2025-06-21 16:22:46,2024-01-16
6970,142,2024-01-16,16:00:00,Si,YUR,-90918,2296248,-2387166,263,148,2025-06-21 16:22:46,2024-01-16
6970,142,2024-01-16,16:00:00,Si,FIZ,90918,447420,-356502,9143,8803,2025-06-21 16:22:46,2024-01-16
6970,94,2024-01-16,12:00:00,Si,YUR,-55935,2344108,-2400043,259,152,2025-06-21 16:22:46,2024-01-16
6970,94,2024-01-16,12:00:00,Si,FIZ,55935,431888,-375953,8827,9373,2025-06-21 16:22:46,2024-01-16
6970,59,2024-01-16,09:05:00,Si,YUR,-36892,2357985,-2394877,252,150,2025-06-21 16:22:46,2024-01-16
